instruction_id,region,original_instruction,strategy_applied,underspecified_instruction,removed_information,expected_impact,ground_truth_lat,ground_truth_lon
manhattan_001,Manhattan,2 blocks north of Central Park and 1 block east of the museum,Strategy 1: Spatial Relation Removal,some distance from Central Park and some distance from the museum,"Cardinal directions: north, east; Distances: 2 blocks, 1 block",May fail to infer direction/distance; could guess randomly,40.7678,-73.9712
manhattan_001,Manhattan,2 blocks north of Central Park and 1 block east of the museum,Strategy 3: Distance/Precision Degradation,some blocks north of Central Park and some block east of the museum,"Exact block counts: 2, 1",May over/underestimate distance; overconfident guessing,40.7678,-73.9712
manhattan_002,Manhattan,"East of the library, past the fountain, near the Y-shaped intersection",Strategy 1: Spatial Relation Removal,"from the library, near the fountain, near the Y-shaped intersection","Cardinal directions: East; Relative terms: near, past",May fail to infer direction/distance; could guess randomly,40.7489,-73.968
manhattan_002,Manhattan,"East of the library, past the fountain, near the Y-shaped intersection",Strategy 2: Landmark Omission,East of the library,Intermediate 'past' landmarks: 1 removed; Secondary 'near' landmarks: 1 removed,May lose precision; hallucinate missing landmarks,40.7489,-73.968
brooklyn_001,Brooklyn,Exactly 3 blocks south on Atlantic Avenue,Strategy 1: Spatial Relation Removal,Exactly some distance on Atlantic Avenue,Cardinal directions: south; Distances: 3 blocks,May fail to infer direction/distance; could guess randomly,40.6782,-73.9442
brooklyn_001,Brooklyn,Exactly 3 blocks south on Atlantic Avenue,Strategy 3: Distance/Precision Degradation,some blocks south on Atlantic Avenue,Exact block counts: 3; Precision marker: 'exactly',May over/underestimate distance; overconfident guessing,40.6782,-73.9442
manhattan_003,Manhattan,"Between the post office and the park, closer to the park",Strategy 1: Spatial Relation Removal,"near the post office and the park, near the park","Relative terms: closer to, Between",May fail to infer direction/distance; could guess randomly,40.758,-73.9855
queens_001,Queens,"At the corner of Queens Blvd and 42nd St, north of the subway station",Strategy 1: Spatial Relation Removal,"At the corner of Queens Blvd and 42nd St, from the subway station",Cardinal directions: north,May fail to infer direction/distance; could guess randomly,40.7433,-73.9196
queens_001,Queens,"At the corner of Queens Blvd and 42nd St, north of the subway station",Strategy 2: Landmark Omission,north of the subway station,Street intersections: 1 removed,May lose precision; hallucinate missing landmarks,40.7433,-73.9196
manhattan_004,Manhattan,"3-4 blocks from Columbus Circle, north of a police station",Strategy 1: Spatial Relation Removal,"some distance from Columbus Circle, from a police station",Cardinal directions: north; Distances: 3-4 blocks,May fail to infer direction/distance; could guess randomly,40.7712,-73.982
manhattan_004,Manhattan,"3-4 blocks from Columbus Circle, north of a police station",Strategy 3: Distance/Precision Degradation,"some blocks from Columbus Circle, north of a police station",Exact block counts: 3-4,May over/underestimate distance; overconfident guessing,40.7712,-73.982
manhattan_005,Manhattan,"Walk north on 8th Ave, at a parking entrance a block north of a police station",Strategy 1: Spatial Relation Removal,"Walk on 8th Ave, at a parking entrance a block from a police station",Cardinal directions: north,May fail to infer direction/distance; could guess randomly,40.7645,-73.989
