Split,Landmark,Frequency
train,STREET,2533
train,WEST,1931
train,EAST,1462
train,NORTH,1417
train,SOUTH,1210
train,BICYCLE PARKING,1131
train,RESTAURANT,1062
train,BENCH,693
train,PARK,656
train,SOUTHWEST,645
train,MIDDLE,539
train,HEAD,524
train,SOUTHEAST,511
train,NORTHEAST,488
train,CHURCH,487
train,CAFE,471
train,NORTHWEST,458
train,BLOCKS,446
train,GARDEN,401
train,MUSEUM,357
train,HOTEL,352
train,BANK,345
train,ROAD,295
train,BAR,280
train,OPPOSITE,269
train,BROADWAY,257
train,WATER,234
train,PHARMACY,229
train,LOCATION,225
train,SCHOOL,224
train,INTERSECTION,221
train,HALF,221
train,LIBRARY,219
train,THEATRE,208
train,FAST FOOD RESTAURANT,193
train,ATTRACTION,190
train,CINEMA,176
train,BICYCLE RENTAL,166
train,FOUNTAIN,164
train,2ND,161
train,POST OFFICE,158
train,DESTINATION,156
train,POST BOX,155
train,BENCHES,151
train,6TH,150
train,3RD,148
train,ADJACENT,147
train,GARDENS,141
train,UNIVERSITY,139
train,DUANE READE PHARMACY,134
train,DRINKING WATER,132
train,LEXINGTON,130
train,STARBUCKS,127
train,1ST,125
train,PUB,125
train,BRIDGE,124
train,AMERICA,122
train,CHASE BANK,115
train,WATERFRONT,115
train,PLACE,115
train,8TH,114
train,COLLEGE,113
train,CLOTHES SHOP,112
train,SHOP,110
train,5TH,110
train,RIVER,108
train,PARKING LOT,107
train,HISTORIC MEMORIAL,102
train,PLAYGROUND,100
train,PIER,100
train,9TH,99
train,PARKING,96
train,BIKE PARKING,94
train,7TH,89
train,CLINIC,88
train,HISTORIC DISTRICT,88
train,ALCOHOL SHOP,86
train,SOUTH EAST,85
train,VACANT SHOP,85
train,HISTORIC BUILDING,84
train,PARKING ENTRANCE,83
train,CONVENIENCE SHOP,83
train,CANAL STREET,82
train,ATM,82
train,ARTS CENTRE,78
train,COUPLE,78
train,BEAUTY SHOP,78
train,TOILETS,74
train,FDR DRIVE,74
train,WORSHIP,74
train,GRAND STREET,71
train,CITI BIKE,71
train,CATHOLIC CHURCH,67
train,FIRE STATION,67
train,CVS PHARMACY,67
train,RESTAURANTS,67
train,WEST STREET,66
train,BAKERY SHOP,66
train,SOUTH WEST,65
train,NORTH EAST,64
test,WEST,412
test,EAST,377
test,STREET,364
test,NORTH,363
test,SOUTH,315
test,SOUTHWEST,146
test,SOUTHEAST,143
test,PARKING LOT,135
test,RESTAURANT,135
test,NORTHEAST,132
test,NORTHWEST,115
test,SCHOOL,95
test,PARK,89
test,BENCH,87
test,PLAYGROUND,85
test,WALNUT STREET,77
test,CAFE,75
test,CHESTNUT STREET,74
test,MIDDLE,67
test,BICYCLE PARKING,60
test,MUSEUM,60
test,HISTORIC BUILDING,58
test,BLOCKS,57
test,MARKET STREET,55
test,SOCIAL FACILITY,54
test,CHURCH,50
test,BANK,48
test,PARKING ENTRANCE,48
test,PITCH,47
test,GARDEN,46
test,BAR,46
test,FAST FOOD RESTAURANT,45
test,HALF,44
test,UNIVERSITY,44
test,WASTE BASKET,44
test,PLACE,41
test,ATM,40
test,BENCHES,39
test,POST BOX,38
test,CONVENIENCE SHOP,38
test,THEATRE,37
test,CVS PHARMACY,37
test,FIRE STATION,36
test,LIBRARY,36
test,OPPOSITE,36
test,RIVER,34
test,INTERSECTION,33
test,PUB,33
test,CINEMA,33
test,ADJACENT,32
test,CAR SHARING,32
test,PHARMACY,30
test,ROAD,30
test,MARKETPLACE,29
test,PARKING,29
test,SOUTH STREET,28
test,COUPLE,28
test,POST OFFICE,27
test,LOCATION,26
test,HAIRDRESSER SHOP,26
test,ARCH STREET,25
test,HEAD,25
test,WATER,25
test,SPRUCE STREET,25
test,STARBUCKS,25
test,GAS STATION,24
test,FOUNTAIN,24
test,WORSHIP,24
test,BRIDGE,22
test,WEST GIRARD,20
test,COMMUNITY CENTRE,20
test,BICYCLE RENTAL,19
test,HISTORIC MEMORIAL,18
test,RACE STREET,18
test,POLICE STATION,18
test,ARTS CENTRE,18
test,RITE AID,18
test,ICE CREAM SHOP,17
test,CECIL MOORE,16
test,SPOT,16
test,CLINIC,16
test,SUPERMARKET,16
test,NORTH BROAD STREET,15
test,DUNKIN,15
test,SANSOM STREET,15
test,COLLEGE,15
test,ATTRACTION,15
test,BICYCLE REPAIR STATION,15
test,CADDY,15
test,BUILDING,15
test,SOUTH EAST,15
test,SOUTH BROAD STREET,15
test,DOG PARK,15
test,SHELTER,14
test,FOOD BANK,14
test,BALTIMORE,14
test,KINDERGARTEN,14
test,CAR SHARING PLACE,13
test,MOBILE,13
test,ALCOHOL SHOP,13
